serialNum;Тип организации;Разряд;Название УГМС;StationName;Реперная/Вековая станция;Синоптический индекс станции;Общероссийский координатный номер метеорологического пункта;Общероссийский номер гидрологического пункта;Общероссийский номер агрометеорологического пункта;Широта;Долгота;Разность между поясным и московским временем;Территориальный код станции;Филиал(ЦГМС);Статус сетей: климатическая (метеорологическая);Признак проведения радиолокационных наблюдений;Признак проведения аэрологических наблюдений;Статус сетей: гидрологическая;Статус сетей: морская;Статус сетей: агрометеорологическая;Признак проведения специальных гидрометеорологических наблюдений;Признак проведения геофизических наблюдений;Признак проведения гелиофизических наблюдений;Признак проведения наблюдений за загрязнениями;Станция законсервирована (0 не законсервирована, 1 законсервирована);Дата закрытия
5181;Гидрологический пост;1;ФГБУ Якутское УГМС;0,2 КМ ОТ УСТЬЯ (САХАРЫНЬЯ) - Р. САХАРЫНЬЯ;0;03501;;03501;;63.333333333333336;141.36666666666667;;114;Отсутствует;0;0;0;2;0;0;0;0;0;0;;
5139;Гидрологический пост;1;ФГБУ Якутское УГМС;0,3 КМ ОТ УСТЬЯ (БЛИЖНИЙ) - РУЧ.БЛИЖНИЙ;0;03527;;03527;;64.44666944444444;144.3000027777778;;114;Отсутствует;0;0;0;4;0;0;0;0;0;0;;
5364;Гидрологический пост;1;ФГБУ Камчатское УГМС;1,1 КМ ОТ УСТЬЯ - Р.СТАРИЧЕК;0;02224;;02224;;56.81;160.83;;190;Отсутствует;0;0;0;2;0;0;0;0;0;1;;9999-12-31 00:00:00
5157;Гидрологический пост;1;ФГБУ Якутское УГМС;1,8 КМ ОТ УСТЬЯ (РАДИО-УРУЙЭТЭ) - Р.РАДИО-УРУЙЭТЭ;1;03245;;03245;;58.97;126.27;;114;Отсутствует;0;0;0;2;0;0;0;0;0;0;;9999-12-31 00:00:00
4418;Гидрологический пост;1;ФГБУ Дальневосточное УГМС;13 КМ БИРШОССЕ - Р.ЩУКИНКА 1-Я;0;05674;;05674;;48.72;132.80;;179;Отсутствует;0;0;0;3;0;0;0;0;0;1;;9999-12-31 00:00:00
67;Гидрологический пост;1;ФГБУ Мурманское УГМС;1429 КМ ОКТЯБР. Ж.Д. - р. Кола;0;71104;;71104;;68.83;33.08;;151;Отсутствует;1;0;0;2;0;0;0;0;0;1;;9999-12-31 00:00:00
8578;Автоматическая гидрометеорол. необслуживаемая наземная станция;0;ФГБУ Мурманское УГМС;147 КМ КОЛА-ГОСГРАНИЦА;0;22104;;;;68.53;28.92;;;Отсутствует;1;0;0;;;;0;0;0;0;;9999-12-31 00:00:00
54;Гидрологический пост;1;ФГБУ Мурманское УГМС;2.0 КМ ОТ УСТЬЯ - р. Аннама;0;71096;;71096;;68.75;30.82;;151;Отсутствует;0;0;0;2;0;0;0;0;0;0;;9999-12-31 00:00:00
4944;Гидрологический пост;1;ФГБУ Иркутское УГМС;245КМ ВСЖД - Р.BЫДРИННАЯ;0;;;07187;;51.483333333333334;104.91666666666667;;104;Байкальский ЦГМС;0;0;0;3;0;0;0;0;0;1;;9999-12-31 00:00:00
110;Гидрологический пост;1;ФГБУ Мурманское УГМС;2КМ ОТ УСТЬЯ - р. Шовна;0;71068;;71068;;68.68;31.92;;151;Отсутствует;0;0;0;3;0;0;0;0;0;0;;9999-12-31 00:00:00
